TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     0:49 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:30:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.191  ------  ---
 0:00:01   0.213   0.022  ---
 0:00:02   0.236   0.023   L 
 0:00:03   0.258   0.022   L 
 0:00:04   0.280   0.022   L 
 0:00:05   0.303   0.023   L 
 0:00:06   0.325   0.022   L 
 0:00:07   0.347   0.022   L 
 0:00:08   0.369   0.022   L 
 0:00:09   0.390   0.021   L 
 0:00:10   0.411   0.021   L 
 0:00:11   0.432   0.021   L 
 0:00:12   0.453   0.021   L 
 0:00:13   0.473   0.020   L 
 0:00:14   0.493   0.020   L 
 0:00:15   0.511   0.018   L 
 0:00:16   0.530   0.019   L 
 0:00:17   0.547   0.017   L 
 0:00:19   0.564   0.017   L 
 0:00:20   0.580   0.016   L 
 0:00:21   0.595   0.015   L 
 0:00:22   0.609   0.014   L 
 0:00:23   0.621   0.012   L 
 0:00:24   0.633   0.012   L 
 0:00:25   0.643   0.010   L 
 0:00:26   0.651   0.008   L 
 0:00:27   0.659   0.008   L 
 0:00:28   0.665   0.006   L 
 0:00:29   0.671   0.006   L 
 0:00:30   0.675   0.004   L 
 0:00:31   0.679   0.004   L 
 0:00:32   0.681   0.002   L 
 0:00:33   0.683   0.002   L 
 0:00:34   0.684   0.001   L 
 0:00:35   0.685   0.001   L 
 0:00:36   0.685   0.000   L 
 0:00:37   0.686   0.001   L 
 0:00:38   0.686   0.000   L 
 0:00:39   0.686   0.000   L 
 0:00:40   0.687   0.001   L 
 0:00:41   0.687   0.000   L 
 0:00:42   0.687   0.000   L 
 0:00:43   0.687   0.000   L 
 0:00:44   0.687   0.000   L 
 0:00:45   0.687   0.000   L 
 0:00:46   0.687   0.000   L 
 0:00:47   0.687   0.000   L 
 0:00:48   0.686  -0.001   L 
 0:00:49   0.686   0.000   L 
 0:00:50   0.686   0.000   L 
 0:00:51   0.686   0.000   L 
 0:00:52   0.686   0.000   L 
 0:00:53   0.686   0.000   L 
 0:00:54   0.686   0.000   L 
 0:00:55   0.686   0.000   L 
 0:00:56   0.686   0.000   L 
 0:00:57   0.686   0.000   L 
 0:00:58   0.685  -0.001   L 
 0:00:59   0.685   0.000   L 
 0:01:00   0.685   0.000   L 
 0:01:01   0.685   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.486      0.486     
